,Legislation Number,URL,Congress,Title,Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Number of Cosponsors,topic,cosponsor_ids
0,H.R. 7933,https://www.congress.gov/bill/119th-congress/house-bill/7933,119th Congress (2025-2026),"To amend title 10, United States Code, to expand the authority to provide a wig and treat traction alopecia under the TRICARE program, and for other purposes.","Watson Coleman, Bonnie [Rep.-D-NJ-12]",2026-03-12,House - Armed Services,Referred to the House Committee on Armed Services.,2026-03-12,0,healthcare,[]
1,H.R. 7932,https://www.congress.gov/bill/119th-congress/house-bill/7932,119th Congress (2025-2026),HONOR Gold Star Families Act,"Van Epps, Matt [Rep.-R-TN-7]",2026-03-12,House - Armed Services,Referred to the House Committee on Armed Services.,2026-03-12,11,veterans,"['K000399', 'T000487', 'D000230', 'E000071', 'H001101', 'T000480', 'B000490', 'V000135', 'R000612', 'J000307', 'B001309', 'H001100', 'M001230', 'B001321', 'K000404', 'H001091', 'H001098']"
2,H.R. 7931,https://www.congress.gov/bill/119th-congress/house-bill/7931,119th Congress (2025-2026),To amend the Employee Retirement Income Security Act of 1974 to exempt from preemption certain State laws related to dental benefits.,"Van Drew, Jefferson [Rep.-R-NJ-2]",2026-03-12,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,2026-03-12,1,public_safety,"['C001136', 'M001210']"
3,H.R. 7930,https://www.congress.gov/bill/119th-congress/house-bill/7930,119th Congress (2025-2026),"To amend title 18, United States Code, to increase the mens rea requirements for offenses under the Espionage Act.","Tlaib, Rashida [Rep.-D-MI-12]",2026-03-12,House - Judiciary,Referred to the House Committee on the Judiciary.,2026-03-12,6,public_safety,"['G000586', 'L000602', 'N000147', 'O000173', 'R000617', 'T000488', 'M000312']"
4,H.R. 7929,https://www.congress.gov/bill/119th-congress/house-bill/7929,119th Congress (2025-2026),"To direct the Secretary of Transportation to issue certain regulations with respect to the safe transportation of lithium-ion cells or batteries, and for other purposes.","Titus, Dina [Rep.-D-NV-1]",2026-03-12,"House - Science, Space, and Technology","Referred to the House Committee on Science, Space, and Technology.",2026-03-12,0,public_safety,[]
5,H.R. 7928,https://www.congress.gov/bill/119th-congress/house-bill/7928,119th Congress (2025-2026),"To direct the Secretary of Transportation to issue certain regulations with respect to the safe transportation of lithium-ion cells or batteries, and for other purposes.","Titus, Dina [Rep.-D-NV-1]",2026-03-12,"House - Transportation and Infrastructure, Energy and Commerce","Referred to the Committee on Transportation and Infrastructure, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-03-12,0,public_safety,[]
6,H.R. 7927,https://www.congress.gov/bill/119th-congress/house-bill/7927,119th Congress (2025-2026),"To establish a Commission on Land Reparations, whose purpose is to study and distribute land reparations to African-American descendants of slaves promised land by the Federal Government.","Thanedar, Shri [Rep.-D-MI-13]",2026-03-12,House - Judiciary,Referred to the House Committee on the Judiciary.,2026-03-12,0,environment,[]
7,H.R. 7926,https://www.congress.gov/bill/119th-congress/house-bill/7926,119th Congress (2025-2026),"To establish requirements for when the Secretary of Energy may provide financial assistance to regulated investor owned electric utilities, and for other purposes.","Stevens, Haley M. [Rep.-D-MI-11]",2026-03-12,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,2026-03-12,0,funding,[]
8,H.R. 7925,https://www.congress.gov/bill/119th-congress/house-bill/7925,119th Congress (2025-2026),"To amend the Personal Responsibility and Work Opportunity Reconciliation Act of 1996 to limit the eligibility of aliens to receive benefits under the temporary assistance for needy families program, and for other purposes.","Steube, W. Gregory [Rep.-R-FL-17]",2026-03-12,House - Ways and Means,Referred to the House Committee on Ways and Means.,2026-03-12,1,public_safety,"['B001309', 'B000825', 'F000469', 'H001101']"
9,H.R. 7924,https://www.congress.gov/bill/119th-congress/house-bill/7924,119th Congress (2025-2026),Trucking Security and CCP Disclosure Act of 2026,"Stefanik, Elise M. [Rep.-R-NY-21]",2026-03-12,"House - Armed Services, Transportation and Infrastructure","Referred to the Committee on Armed Services, and in addition to the Committee on Transportation and Infrastructure, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-03-12,0,public_safety,[]
10,H.R. 7923,https://www.congress.gov/bill/119th-congress/house-bill/7923,119th Congress (2025-2026),"To amend the Child Care and Development Block Grant Act of 1990 to debar child care providers who commit fraud from receiving certain financial assistance, and for other purposes.","Stauber, Pete [Rep.-R-MN-8]",2026-03-12,"House - Judiciary, Education and Workforce","Referred to the Committee on the Judiciary, and in addition to the Committee on Education and Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-03-12,0,public_safety,[]
11,H.R. 7922,https://www.congress.gov/bill/119th-congress/house-bill/7922,119th Congress (2025-2026),To amend the Internal Revenue Code of 1986 to provide a credit to certain small employers for the startup costs of dependent care flexible spending plans.,"Smith, Adrian [Rep.-R-NE-3]",2026-03-12,House - Ways and Means,Referred to the House Committee on Ways and Means.,2026-03-12,2,funding,"['D000096', 'M001224']"
12,H.R. 7921,https://www.congress.gov/bill/119th-congress/house-bill/7921,119th Congress (2025-2026),To amend the Consolidated Farm and Rural Development Act to modify provisions relating to rural decentralized water systems grants.,"Sewell, Terri A. [Rep.-D-AL-7]",2026-03-12,House - Agriculture,Referred to the House Committee on Agriculture.,2026-03-12,1,rural,['R000575']
13,H.R. 7920,https://www.congress.gov/bill/119th-congress/house-bill/7920,119th Congress (2025-2026),To amend title XVIII of the Social Security Act to prevent hospitals or skilled nursing facilities that are owned by certain firms from participating in the Medicare program.,"Scanlon, Mary Gay [Rep.-D-PA-5]",2026-03-12,"House - Ways and Means, Energy and Commerce","Referred to the Committee on Ways and Means, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-03-12,6,healthcare,"['D000216', 'D000530', 'J000298', 'M001196', 'T000488', 'T000481', 'D000631']"
14,H.R. 7919,https://www.congress.gov/bill/119th-congress/house-bill/7919,119th Congress (2025-2026),To amend the Internal Revenue Code of 1986 to provide a gasoline tax holiday.,"Pappas, Chris [Rep.-D-NH-1]",2026-03-12,House - Ways and Means,Referred to the House Committee on Ways and Means.,2026-03-12,0,funding,[]
15,H.R. 7918,https://www.congress.gov/bill/119th-congress/house-bill/7918,119th Congress (2025-2026),To establish an alternative use of certain Federal education funds when in-person instruction is not available.,"Owens, Burgess [Rep.-R-UT-4]",2026-03-12,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,2026-03-12,0,education,[]
