"id","givenName","familyName","middleName","unaccentedGivenName","unaccentedFamilyName","unaccentedMiddleName","nickName","honorificPrefix","honorificSuffix","honorificTitle","birthYear","deathYear","congresses"
"A000003","Joel","Abbot",,"Joel","Abbot",,,"Mr.",,,"1776","1826","[{""position"":""Representative"",""congressNumber"":15,""stateName"":""GA"",""parties"":[""Democratic Republican""],""electionDate"":""1816-10-07"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":16,""stateName"":""GA"",""parties"":[""Democratic Republican""],""electionDate"":""1818-10-05"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":17,""stateName"":""GA"",""parties"":[""Democratic Republican""],""electionDate"":""1820-10-02"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":18,""stateName"":""GA"",""parties"":[""Crawford Republican""],""electionDate"":""1822-10-07"",""electionCirca"":false}]"
"A000026","John","Adair",,"John","Adair",,,,,,"1757","1840","[{""position"":""Senator"",""congressNumber"":9,""stateName"":""KY"",""parties"":[""Democratic Republican""]},{""position"":""Representative"",""congressNumber"":22,""stateName"":""KY"",""parties"":[""Jacksonian""]}]"
"A000030","Benjamin","Adams",,"Benjamin","Adams",,,"Mr.",,,"1764","1837","[{""position"":""Representative"",""congressNumber"":14,""stateName"":""MA"",""parties"":[""Federalist""],""electionDate"":""1816-08-26"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":15,""stateName"":""MA"",""parties"":[""Federalist""],""electionDate"":""1816-11-04"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":16,""stateName"":""MA"",""parties"":[""Federalist""],""electionDate"":""1818-11-02"",""electionCirca"":false}]"
"A000041","John","Adams","Quincy","John","Adams","Quincy",,"Mr.",,,"1767","1848","[{""position"":""Senator"",""congressNumber"":8,""stateName"":""MA"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":9,""stateName"":""MA"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":10,""stateName"":""MA"",""parties"":[""Federalist""]},{""position"":""Representative"",""congressNumber"":22,""stateName"":""MA"",""parties"":[""Anti-Jacksonian""],""electionDate"":""1830-11-01"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":23,""stateName"":""MA"",""parties"":[""Anti-Masonic""],""electionDate"":""1833-04-01"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":24,""stateName"":""MA"",""parties"":[""Anti-Masonic""],""electionDate"":""1834-11-10"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":25,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1836-11-14"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":26,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1838-11-12"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":27,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1840-11-09"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":28,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1842-11-14"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":29,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1844-11-11"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":30,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1846-11-09"",""electionCirca"":false}]"
"A000039","John","Adams",,"John","Adams",,,"Mr.",,,"1735","1826","[{""position"":""Delegate"",""congressNumber"":1,""stateName"":""MA""},{""position"":""Delegate"",""congressNumber"":2,""stateName"":""MA""}]"
"A000038","John","Adams",,"John","Adams",,,"Mr.",,,"1778","1854","[{""position"":""Representative"",""congressNumber"":14,""stateName"":""NY"",""parties"":[""Democratic Republican""],""electionDate"":""1815-04-26"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":23,""stateName"":""NY"",""parties"":[""Jacksonian""],""electionDate"":""1832-11-05"",""electionCirca"":true}]"
"A000042","Parmenio","Adams",,"Parmenio","Adams",,,"Mr.",,,"1776","1832","[{""position"":""Representative"",""congressNumber"":18,""stateName"":""NY"",""parties"":[""Adams-Clay Republican""],""electionDate"":""1822-11-04"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":19,""stateName"":""NY"",""parties"":[""Adams""],""electionDate"":""1824-11-01"",""electionCirca"":true}]"
"A000043","Robert","Adams","Huntington","Robert","Adams","Huntington",,,,,"1792","1830","[{""position"":""Senator"",""congressNumber"":21,""stateName"":""MS"",""parties"":[""Jacksonian""]}]"
"A000053","William","Addams",,"William","Addams",,,"Mr.",,,"1777","1858","[{""position"":""Representative"",""congressNumber"":19,""stateName"":""PA"",""parties"":[""Jacksonian""],""electionDate"":""1824-10-12"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":20,""stateName"":""PA"",""parties"":[""Jacksonian""],""electionDate"":""1826-10-10"",""electionCirca"":false}]"
"A000056","Asa","Adgate",,"Asa","Adgate",,,"Mr.",,,"1767","1832","[{""position"":""Representative"",""congressNumber"":14,""stateName"":""NY"",""parties"":[""Democratic Republican""],""electionDate"":""1815-04-25"",""electionCirca"":true}]"
"A000089","Adam","Alexander","Rankin","Adam","Alexander","Rankin",,"Mr.",,,"1781","1848","[{""position"":""Representative"",""congressNumber"":18,""stateName"":""TN"",""parties"":[""Jackson Republican""],""electionDate"":""1823-02-12"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":19,""stateName"":""TN"",""parties"":[""Jacksonian""],""electionDate"":""1825-08-04"",""electionCirca"":true}]"
"A000092","Evan","Alexander","Shelby","Evan","Alexander","Shelby",,"Mr.",,,"1767","1809","[{""position"":""Representative"",""congressNumber"":9,""stateName"":""NC"",""parties"":[""Democratic Republican""],""electionDate"":""1806-01-24"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":10,""stateName"":""NC"",""parties"":[""Democratic Republican""],""electionDate"":""1806-08-14"",""electionCirca"":false}]"
"A000096","John","Alexander",,"John","Alexander",,,"Mr.",,,"1777","1848","[{""position"":""Representative"",""congressNumber"":13,""stateName"":""OH"",""parties"":[""Democratic Republican""],""electionDate"":""1812-10-13"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":14,""stateName"":""OH"",""parties"":[""Democratic Republican""],""electionDate"":""1814-10-11"",""electionCirca"":false}]"
"A000099","Mark","Alexander",,"Mark","Alexander",,,"Mr.",,,"1792","1883","[{""position"":""Representative"",""congressNumber"":16,""stateName"":""VA"",""parties"":[""Democratic Republican""],""electionDate"":""1819-04"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":17,""stateName"":""VA"",""parties"":[""Democratic Republican""],""electionDate"":""1821-04-01"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":18,""stateName"":""VA"",""parties"":[""Crawford Republican""],""electionDate"":""1823-03-31"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":19,""stateName"":""VA"",""parties"":[""Jacksonian""],""electionDate"":""1825-04"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":20,""stateName"":""VA"",""parties"":[""Jacksonian""],""electionDate"":""1827-04-09"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":21,""stateName"":""VA"",""parties"":[""Jacksonian""],""electionDate"":""1829-04"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":22,""stateName"":""VA"",""parties"":[""Jacksonian""],""electionDate"":""1831-08-02"",""electionCirca"":false}]"
"A000100","Nathaniel","Alexander",,"Nathaniel","Alexander",,,"Mr.",,,"1756","1808","[{""position"":""Representative"",""congressNumber"":8,""stateName"":""NC"",""parties"":[""Democratic Republican""],""electionDate"":""1803"",""electionCirca"":true}]"
"A000108","Chilton","Allan",,"Chilton","Allan",,,"Mr.",,,"1786","1858","[{""position"":""Representative"",""congressNumber"":22,""stateName"":""KY"",""parties"":[""Anti-Jacksonian""],""electionDate"":""1831-08-01"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":23,""stateName"":""KY"",""parties"":[""Anti-Jacksonian""],""electionDate"":""1833-08-05"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":24,""stateName"":""KY"",""parties"":[""Whig""],""electionDate"":""1835-08-05"",""electionCirca"":false}]"
"A000122","Heman","Allen",,"Heman","Allen",,"of Colchester","Mr.",,,"1779","1852","[{""position"":""Representative"",""congressNumber"":15,""stateName"":""VT"",""parties"":[""Democratic Republican""],""electionDate"":""1816-09-03"",""electionCirca"":false}]"
"A000123","Heman","Allen",,"Heman","Allen",,"of Milton","Mr.",,,"1777","1844","[{""position"":""Representative"",""congressNumber"":22,""stateName"":""VT"",""parties"":[""Anti-Jacksonian""],""electionDate"":""1830-09-06"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":23,""stateName"":""VT"",""parties"":[""Anti-Jacksonian""],""electionDate"":""1833-01-01"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":24,""stateName"":""VT"",""parties"":[""Anti-Jacksonian""],""electionDate"":""1834-11-11"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":25,""stateName"":""VT"",""parties"":[""Whig""],""electionDate"":""1836-09-06"",""electionCirca"":false}]"
"A000132","John","Allen","James","John","Allen","James",,"Mr.",,,"1797","1871","[{""position"":""Representative"",""congressNumber"":23,""stateName"":""VA"",""parties"":[""Anti-Jacksonian""],""electionDate"":""1833-04"",""electionCirca"":true}]"
"A000129","John","Allen",,"John","Allen",,,"Mr.",,,"1763","1812","[{""position"":""Representative"",""congressNumber"":5,""stateName"":""CT"",""parties"":[""Federalist""]}]"
"A000136","Joseph","Allen",,"Joseph","Allen",,,"Mr.",,,"1749","1827","[{""position"":""Representative"",""congressNumber"":11,""stateName"":""MA"",""parties"":[""Federalist""],""electionDate"":""1810-10-08"",""electionCirca"":false}]"
"A000140","Nathaniel","Allen",,"Nathaniel","Allen",,,"Mr.",,,"1780","1832","[{""position"":""Representative"",""congressNumber"":16,""stateName"":""NY"",""parties"":[""Democratic Republican""],""electionDate"":""1818-04-28"",""electionCirca"":true}]"
"A000143","Robert","Allen",,"Robert","Allen",,,"Mr.",,,"1794","1859","[{""position"":""Representative"",""congressNumber"":20,""stateName"":""VA"",""parties"":[""Jacksonian""],""electionDate"":""1827-04-09"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":21,""stateName"":""VA"",""parties"":[""Jacksonian""],""electionDate"":""1829-04"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":22,""stateName"":""VA"",""parties"":[""Jacksonian""],""electionDate"":""1831-08-02"",""electionCirca"":false}]"
"A000142","Robert","Allen",,"Robert","Allen",,,"Mr.",,,"1778","1844","[{""position"":""Representative"",""congressNumber"":16,""stateName"":""TN"",""parties"":[""Democratic Republican""],""electionDate"":""1819-08-05"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":17,""stateName"":""TN"",""parties"":[""Democratic Republican""],""electionDate"":""1821-08-10"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":18,""stateName"":""TN"",""parties"":[""Jackson Republican""],""electionDate"":""1823-08-07"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":19,""stateName"":""TN"",""parties"":[""Jacksonian""],""electionDate"":""1825-08-04"",""electionCirca"":true}]"
"A000146","Samuel","Allen","Clesson","Samuel","Allen","Clesson",,"Mr.",,,"1772","1842","[{""position"":""Representative"",""congressNumber"":15,""stateName"":""MA"",""parties"":[""Federalist""],""electionDate"":""1816-11-04"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":16,""stateName"":""MA"",""parties"":[""Federalist""],""electionDate"":""1818-11-02"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":17,""stateName"":""MA"",""parties"":[""Federalist""],""electionDate"":""1820-11-06"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":18,""stateName"":""MA"",""parties"":[""Adams-Clay Federalist""],""electionDate"":""1822-11-04"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":19,""stateName"":""MA"",""parties"":[""Adams""],""electionDate"":""1825-01-03"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":20,""stateName"":""MA"",""parties"":[""Adams""],""electionDate"":""1826-11-06"",""electionCirca"":false}]"
"A000150","William","Allen",,"William","Allen",,,"Mr.",,,"1803","1879","[{""position"":""Representative"",""congressNumber"":23,""stateName"":""OH"",""parties"":[""Jacksonian""],""electionDate"":""1832-10-09"",""electionCirca"":false},{""position"":""Senator"",""congressNumber"":25,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":26,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":27,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":28,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":29,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":30,""stateName"":""OH"",""parties"":[""Democrat""]}]"
"A000157","James","Allison",,"James","Allison",,,"Mr.","Jr.",,"1772","1854","[{""position"":""Representative"",""congressNumber"":18,""stateName"":""PA"",""parties"":[""Jackson Republican""],""electionDate"":""1822-10-08"",""electionCirca"":false}]"
"A000159","Robert","Allison",,"Robert","Allison",,,"Mr.",,,"1777","1840","[{""position"":""Representative"",""congressNumber"":22,""stateName"":""PA"",""parties"":[""Anti-Masonic""],""electionDate"":""1830-10-12"",""electionCirca"":false}]"
"A000165","Lemuel","Alston","James","Lemuel","Alston","James",,"Mr.",,,"1760","1836","[{""position"":""Representative"",""congressNumber"":10,""stateName"":""SC"",""parties"":[""Democratic Republican""],""electionDate"":""1806-10-13"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":11,""stateName"":""SC"",""parties"":[""Democratic Republican""],""electionDate"":""1808-10-10"",""electionCirca"":false}]"
"A000167","Willis","Alston",,"Willis","Alston",,,"Mr.",,,"1769","1837","[{""position"":""Representative"",""congressNumber"":6,""stateName"":""NC"",""parties"":[""Democratic Republican""],""electionDate"":""1798-08-16"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":7,""stateName"":""NC"",""parties"":[""Democratic Republican""],""electionDate"":""1800-08-14"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":8,""stateName"":""NC"",""parties"":[""Democratic Republican""],""electionDate"":""1803-08-11"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":9,""stateName"":""NC"",""parties"":[""Democratic Republican""],""electionDate"":""1804-08-09"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":10,""stateName"":""NC"",""parties"":[""Democratic Republican""],""electionDate"":""1806-08-14"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":11,""stateName"":""NC"",""parties"":[""Democratic Republican""],""electionDate"":""1808-08-11"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":12,""stateName"":""NC"",""parties"":[""Democratic Republican""],""electionDate"":""1810-08-09"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":13,""stateName"":""NC"",""parties"":[""Democratic Republican""],""electionDate"":""1813-05-01"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":19,""stateName"":""NC"",""parties"":[""Jacksonian""],""electionDate"":""1825-08-11"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":20,""stateName"":""NC"",""parties"":[""Jacksonian""],""electionDate"":""1827-08-09"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":21,""stateName"":""NC"",""parties"":[""Jacksonian""],""electionDate"":""1829-08-13"",""electionCirca"":false}]"
"A000174","Fisher","Ames",,"Fisher","Ames",,,"Mr.",,,"1758","1808","[{""position"":""Representative"",""congressNumber"":1,""stateName"":""MA"",""parties"":[""Pro-Administration""]},{""position"":""Representative"",""congressNumber"":2,""stateName"":""MA"",""parties"":[""Pro-Administration""]},{""position"":""Representative"",""congressNumber"":3,""stateName"":""MA"",""parties"":[""Pro-Administration""]},{""position"":""Representative"",""congressNumber"":4,""stateName"":""MA"",""parties"":[""Federalist""]}]"
"A000191","Isaac","Anderson",,"Isaac","Anderson",,,"Mr.",,,"1760","1838","[{""position"":""Representative"",""congressNumber"":8,""stateName"":""PA"",""parties"":[""Democratic Republican""],""electionDate"":""1802"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":9,""stateName"":""PA"",""parties"":[""Democratic Republican""],""electionDate"":""1804"",""electionCirca"":true}]"
"A000193","John","Anderson",,"John","Anderson",,,"Mr.",,,"1792","1853","[{""position"":""Representative"",""congressNumber"":19,""stateName"":""ME"",""parties"":[""Jacksonian""],""electionDate"":""1824-09-13"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":20,""stateName"":""ME"",""parties"":[""Jacksonian""],""electionDate"":""1826-09-11"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":21,""stateName"":""ME"",""parties"":[""Jacksonian""],""electionDate"":""1828-09-08"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":22,""stateName"":""ME"",""parties"":[""Jacksonian""],""electionDate"":""1830-09-13"",""electionCirca"":false}]"
"A000197","Joseph","Anderson","Inslee","Joseph","Anderson","Inslee",,,,,"1757","1837","[{""position"":""Senator"",""congressNumber"":5,""stateName"":""TN"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":6,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":7,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":8,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":9,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":10,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":11,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":12,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":13,""stateName"":""TN"",""parties"":[""Democratic Republican""]}]"
