id,givenName,familyName,middleName,honorificSuffix,birthYear,deathYear,num_terms,positions,states,parties,congress_range
A000003,Joel,Abbot,,,1776.0,1826.0,4,['Representative'],['GA'],"['Democratic Republican', 'Crawford Republican']",15-18
A000026,John,Adair,,,1757.0,1840.0,2,"['Senator', 'Representative']",['KY'],"['Democratic Republican', 'Jacksonian']",9-22
A000030,Benjamin,Adams,,,1764.0,1837.0,3,['Representative'],['MA'],['Federalist'],14-16
A000041,John,Adams,Quincy,,1767.0,1848.0,12,"['Senator', 'Representative']",['MA'],"['Whig', 'Federalist', 'Anti-Jacksonian', 'Anti-Masonic']",8-30
A000039,John,Adams,,,1735.0,1826.0,2,['Delegate'],['MA'],[],1-2
A000038,John,Adams,,,1778.0,1854.0,2,['Representative'],['NY'],"['Democratic Republican', 'Jacksonian']",14-23
A000042,Parmenio,Adams,,,1776.0,1832.0,2,['Representative'],['NY'],"['Adams', 'Adams-Clay Republican']",18-19
A000043,Robert,Adams,Huntington,,1792.0,1830.0,1,['Senator'],['MS'],['Jacksonian'],21-21
A000053,William,Addams,,,1777.0,1858.0,2,['Representative'],['PA'],['Jacksonian'],19-20
A000056,Asa,Adgate,,,1767.0,1832.0,1,['Representative'],['NY'],['Democratic Republican'],14-14
A000089,Adam,Alexander,Rankin,,1781.0,1848.0,2,['Representative'],['TN'],"['Jackson Republican', 'Jacksonian']",18-19
A000092,Evan,Alexander,Shelby,,1767.0,1809.0,2,['Representative'],['NC'],['Democratic Republican'],9-10
A000096,John,Alexander,,,1777.0,1848.0,2,['Representative'],['OH'],['Democratic Republican'],13-14
A000099,Mark,Alexander,,,1792.0,1883.0,7,['Representative'],['VA'],"['Democratic Republican', 'Jacksonian', 'Crawford Republican']",16-22
A000100,Nathaniel,Alexander,,,1756.0,1808.0,1,['Representative'],['NC'],['Democratic Republican'],8-8
A000108,Chilton,Allan,,,1786.0,1858.0,3,['Representative'],['KY'],"['Whig', 'Anti-Jacksonian']",22-24
A000122,Heman,Allen,,,1779.0,1852.0,1,['Representative'],['VT'],['Democratic Republican'],15-15
A000123,Heman,Allen,,,1777.0,1844.0,4,['Representative'],['VT'],"['Whig', 'Anti-Jacksonian']",22-25
A000132,John,Allen,James,,1797.0,1871.0,1,['Representative'],['VA'],['Anti-Jacksonian'],23-23
A000129,John,Allen,,,1763.0,1812.0,1,['Representative'],['CT'],['Federalist'],5-5
A000136,Joseph,Allen,,,1749.0,1827.0,1,['Representative'],['MA'],['Federalist'],11-11
A000140,Nathaniel,Allen,,,1780.0,1832.0,1,['Representative'],['NY'],['Democratic Republican'],16-16
A000143,Robert,Allen,,,1794.0,1859.0,3,['Representative'],['VA'],['Jacksonian'],20-22
A000142,Robert,Allen,,,1778.0,1844.0,4,['Representative'],['TN'],"['Democratic Republican', 'Jackson Republican', 'Jacksonian']",16-19
A000146,Samuel,Allen,Clesson,,1772.0,1842.0,6,['Representative'],['MA'],"['Adams', 'Adams-Clay Federalist', 'Federalist']",15-20
A000150,William,Allen,,,1803.0,1879.0,7,"['Senator', 'Representative']",['OH'],"['Democrat', 'Jacksonian']",23-30
A000157,James,Allison,,Jr.,1772.0,1854.0,1,['Representative'],['PA'],['Jackson Republican'],18-18
A000159,Robert,Allison,,,1777.0,1840.0,1,['Representative'],['PA'],['Anti-Masonic'],22-22
A000165,Lemuel,Alston,James,,1760.0,1836.0,2,['Representative'],['SC'],['Democratic Republican'],10-11
A000167,Willis,Alston,,,1769.0,1837.0,11,['Representative'],['NC'],"['Democratic Republican', 'Jacksonian']",6-21
A000174,Fisher,Ames,,,1758.0,1808.0,4,['Representative'],['MA'],"['Pro-Administration', 'Federalist']",1-4
A000191,Isaac,Anderson,,,1760.0,1838.0,2,['Representative'],['PA'],['Democratic Republican'],8-9
A000193,John,Anderson,,,1792.0,1853.0,4,['Representative'],['ME'],['Jacksonian'],19-22
A000197,Joseph,Anderson,Inslee,,1757.0,1837.0,9,['Senator'],['TN'],['Democratic Republican'],5-13
A000230,Richard,Anderson,Clough,Jr.,1788.0,1826.0,2,['Representative'],['KY'],['Democratic Republican'],15-16
A000231,Samuel,Anderson,,,1773.0,1850.0,1,['Representative'],['PA'],['Adams'],20-20
A000235,William,Anderson,,,1762.0,1829.0,4,['Representative'],['PA'],['Democratic Republican'],11-15
A000256,William,Angel,G.,,1790.0,1858.0,3,['Representative'],['NY'],"['Adams', 'Jacksonian']",19-22
A000263,Joseph,Anthony,Biles,,1795.0,1851.0,2,['Representative'],['PA'],['Jacksonian'],23-24
A000269,Nathan,Appleton,,,1779.0,1861.0,2,['Representative'],['MA'],"['Whig', 'Anti-Jacksonian']",22-27
A000272,John,Archer,,,1741.0,1810.0,3,['Representative'],['MD'],['Democratic Republican'],7-9
A000273,Stevenson,Archer,,,1786.0,1848.0,4,['Representative'],['MD'],['Democratic Republican'],12-16
A000275,William,Archer,Segar,,1789.0,1855.0,11,"['Senator', 'Representative']",['VA'],"['Democratic Republican', 'Whig', 'Jacksonian', 'Crawford Republican']",16-29
A000280,James,Armstrong,,,1748.0,1828.0,1,['Representative'],['PA'],['Pro-Administration'],3-3
A000282,John,Armstrong,,Jr.,1758.0,1843.0,5,"['Senator', 'Delegate']","['PA', 'NY']",['Democratic Republican'],1-8
A000284,William,Armstrong,,,1782.0,1865.0,4,['Representative'],['VA'],"['Adams', 'Anti-Jacksonian']",19-22
A000287,Benedict,Arnold,,,1780.0,1849.0,1,['Representative'],['NY'],['Anti-Jacksonian'],21-21
A000297,Thomas,Arnold,Dickens,,1798.0,1870.0,2,['Representative'],['TN'],"['Whig', 'Anti-Jacksonian']",22-27
A000307,John,Ashe,Baptista,,1748.0,1802.0,3,"['Delegate', 'Representative']",['NC'],['Anti-Administration'],1-2
A000313,Henry,Ashley,,,1778.0,1829.0,1,['Representative'],['NY'],['Jacksonian'],19-19
A000315,William,Ashley,Henry,,1778.0,1838.0,3,['Representative'],['MO'],['Jacksonian'],22-24
A000317,Eli,Ashmun,Porter,,1770.0,1819.0,2,['Senator'],['MA'],['Federalist'],14-15
A000324,Charles,Atherton,Humphrey,,1773.0,1853.0,1,['Representative'],['NH'],['Federalist'],14-14
A000340,Archibald,Austin,,,1772.0,1837.0,1,['Representative'],['VA'],['Democratic Republican'],15-15
A000345,Daniel,Avery,,,1766.0,1842.0,3,['Representative'],['NY'],['Democratic Republican'],12-14
B000006,William,Babcock,,,1785.0,1838.0,1,['Representative'],['NY'],['Anti-Masonic'],22-22
B000015,Ezekiel,Bacon,,,1776.0,1870.0,3,['Representative'],['MA'],['Democratic Republican'],10-12
B000017,John,Bacon,,,1738.0,1820.0,1,['Representative'],['MA'],['Democratic Republican'],7-7
B000023,Luther,Badger,,,1785.0,1869.0,1,['Representative'],['NY'],['Adams'],19-19
B000026,George,Baer,,Jr.,1763.0,1834.0,3,['Representative'],['MD'],['Federalist'],5-14
B000041,John,Bailey,,,1786.0,1835.0,4,['Representative'],['MA'],"['Adams', 'Adams-Clay Republican', 'Anti-Jacksonian']",18-21
B000049,Theodorus,Bailey,,,1758.0,1828.0,5,"['Senator', 'Representative']",['NY'],"['Democratic Republican', 'Anti-Administration']",3-8
B000056,Caleb,Baker,,,1762.0,1849.0,1,['Representative'],['NY'],['Democratic Republican'],16-16
B000058,David,Baker,Jewett,,1792.0,1869.0,1,['Senator'],['IL'],['Democrat'],21-21
B000060,Ezra,Baker,,,1765.0,,1,['Representative'],['NJ'],['Democratic Republican'],14-14
B000067,John,Baker,,,,1823.0,1,['Representative'],['VA'],['Federalist'],12-12
B000084,Abraham,Baldwin,,,1754.0,1807.0,11,"['Senator', 'Delegate', 'Representative']",['GA'],"['Democratic Republican', 'Anti-Administration']",1-10
B000087,Henry,Baldwin,,,1780.0,1844.0,3,['Representative'],['PA'],['Democratic Republican'],15-17
B000090,John,Baldwin,,,1772.0,1850.0,2,['Representative'],['CT'],['Adams'],19-20
B000097,Simeon,Baldwin,,,1761.0,1851.0,1,['Representative'],['CT'],['Federalist'],8-8
B000103,William,Ball,Lee,,1781.0,1824.0,4,['Representative'],['VA'],"['Democratic Republican', 'Crawford Republican']",15-18
B000114,John,Banks,,,1793.0,1864.0,3,['Representative'],['PA'],['Anti-Masonic'],22-24
B000124,Levi,Barber,,,1777.0,1833.0,2,['Representative'],['OH'],['Democratic Republican'],15-17
B000125,Noyes,Barber,,,1781.0,1844.0,7,['Representative'],['CT'],"['Democratic Republican', 'Adams', 'Adams-Clay Republican', 'Anti-Jacksonian']",17-23
B000127,James,Barbour,,,1775.0,1842.0,7,['Senator'],['VA'],"['Democratic Republican', 'Anti-Democrat']",13-19
B000128,John,Barbour,Strode,,1790.0,1855.0,5,['Representative'],['VA'],"['Jacksonian', 'Crawford Republican']",18-22
B000131,Philip,Barbour,Pendleton,,1783.0,1841.0,8,['Representative'],['VA'],"['Democratic Republican', 'Jacksonian', 'Crawford Republican']",13-21
B000137,David,Bard,,,1744.0,1815.0,9,['Representative'],['PA'],['Democratic Republican'],4-14
B000143,David,Barker,,Jr.,1797.0,1834.0,1,['Representative'],['NH'],['Adams'],20-20
B000144,Joseph,Barker,,,1751.0,1815.0,2,['Representative'],['MA'],['Democratic Republican'],9-10
B000150,Stephen,Barlow,,,1779.0,1845.0,1,['Representative'],['PA'],['Jacksonian'],20-20
B000152,Daniel,Barnard,Dewey,,1797.0,1861.0,4,['Representative'],['NY'],"['Whig', 'Adams']",20-28
B000154,Isaac,Barnard,Dutton,,1791.0,1834.0,3,['Senator'],['PA'],['Jacksonian'],20-22
B000161,William,Barnett,,,1761.0,1832.0,2,['Representative'],['GA'],['Democratic Republican'],12-13
B000162,John,Barney,,,1785.0,1857.0,2,['Representative'],['MD'],['Adams'],19-20
B000165,Charles,Barnitz,Augustus,,1780.0,1850.0,1,['Representative'],['PA'],['Anti-Masonic'],23-23
B000168,Robert,Barnwell,Woodward,,1801.0,1882.0,3,"['Senator', 'Representative']",['SC'],"['Democrat', 'Jacksonian', 'Nullifier']",21-31
B000167,Robert,Barnwell,,,1761.0,1814.0,2,"['Delegate', 'Representative']",['SC'],['Pro-Administration'],1-2
B000181,Daniel,Barringer,Laurens,,1788.0,1852.0,5,['Representative'],['NC'],"['Jacksonian', 'Anti-Jacksonian']",19-23
B000192,William,Barry,Taylor,,1784.0,1835.0,3,"['Senator', 'Representative']",['KY'],['Democratic Republican'],11-14
B000194,Gamaliel,Barstow,Henry,,1784.0,1865.0,1,['Representative'],['NY'],['Anti-Masonic'],22-22
B000195,Gideon,Barstow,,,1783.0,1852.0,1,['Representative'],['MA'],['Democratic Republican'],17-17
B000198,Bailey,Bartlett,,,1750.0,1830.0,2,['Representative'],['MA'],['Federalist'],5-6
B000205,Ichabod,Bartlett,,,1786.0,1853.0,3,['Representative'],['NH'],"['Adams', 'Adams-Clay Republican']",18-20
