bioguide_id,nominate_dim1,nominate_dim2
A000006,0.29,0.836
A000009,0.241,0.129
A000017,-0.743,0.423
A000026,-0.251,-0.051
A000028,-0.064,0.228
A000031,-0.3960000000000001,-0.127
A000041,0.4789999999999999,-0.519
A000043,-0.099,-0.823
A000048,-0.574,0.258
A000062,0.062,-0.435
A000069,-0.419,0.273
A000079,0.065,0.445
A000083,0.401,-0.811
A000107,0.332,-0.886
A000109,0.572,-0.121
A000110,0.563,-0.617
A000121,0.409,-0.053
A000126,0.454,0.426
A000127,0.016,1.0
A000130,0.366,0.29
A000139,0.128,0.452
A000141,-0.256,0.033
A000150,-0.36599999999999994,-0.773
A000153,-0.21400000000000002,0.977
A000160,0.314,-0.187
A000161,0.308,-0.445
A000172,0.351,-0.17800000000000002
A000181,-0.405,0.082
A000186,-0.20099999999999998,0.213
A000197,-0.21,0.023
A000202,-0.466,-0.044
A000208,0.08700000000000001,-0.024000000000000004
A000219,0.508,-0.14
A000244,-0.151,0.62
A000258,0.433,-0.337
A000262,0.286,-0.7249999999999999
A000275,-0.19600000000000004,0.802
A000279,-0.342,0.31
A000282,-0.162,-0.557
A000295,-0.125,-0.992
A000311,-0.413,-0.268
A000317,0.501,-0.865
A000319,-0.231,0.211
A000322,-0.447,-0.001
A000323,-0.492,-0.702
A000342,0.106,-0.515
A000355,0.311,-0.266
A000356,0.536,-0.18099999999999997
A000360,0.324,-0.176
A000368,0.351,-0.612
A000382,-0.442,0.048
B000010,-0.312,0.108
B000014,-0.39,-0.187
B000022,0.03,0.681
B000030,-0.514,0.126
B000039,-0.556,-0.09700000000000002
B000044,-0.63,-0.09800000000000002
B000046,-0.118,-0.15
B000049,-0.139,0.205
B000052,0.384,-0.517
B000053,0.647,-0.376
B000059,0.106,0.026
B000063,0.283,-0.445
B000070,0.542,0.169
B000084,-0.165,-0.373
B000089,0.345,-0.194
B000095,0.205,-0.694
B000096,0.535,0.018
B000099,0.24100000000000002,-0.821
B000100,0.59,-0.332
B000110,-0.38,-0.492
B000111,-0.284,0.313
B000127,-0.23,-0.281
B000129,-0.385,-0.291
B000132,0.154,-0.584
B000138,0.279,0.264
B000145,-0.375,0.087
B000154,0.06,0.681
B000166,-0.187,-0.041
B000168,-0.334,0.942
B000176,0.332,-0.046000000000000006
B000183,0.032,0.422
B000184,-0.472,0.572
B000192,0.141,0.701
B000200,0.433,0.069
B000201,-0.495,0.484
B000212,0.323,0.38
B000223,-0.414,0.779
B000226,0.087,0.007
B000227,-0.615,0.23499999999999996
B000228,0.34,0.374
B000233,0.638,-0.084
B000238,-0.285,0.137
B000243,-0.212,0.017
B000248,-0.351,0.517
B000249,0.619,-0.4699999999999999
B000251,0.11300000000000002,0.385
B000252,-0.259,-0.966
B000253,-0.412,-0.656
B000254,-0.408,0.042
B000271,0.17600000000000002,-0.55
B000272,0.19499999999999998,-0.593
B000289,-0.484,-0.033
B000293,-0.286,-0.18699999999999997
B000331,0.554,-0.832
B000337,0.268,0.072
B000340,-0.08,0.453
B000345,0.614,0.046000000000000006
B000351,0.307,-0.47
B000356,0.179,-0.893
B000365,-0.249,0.373
B000382,0.331,-0.11
B000384,0.447,-0.334
B000389,0.02,1.0
B000398,-0.294,-0.285
B000399,-0.535,-0.578
B000401,-0.163,0.458
B000413,-0.142,0.654
B000417,0.037,0.999
B000418,-0.65,0.358
B000428,0.436,-0.295
B000429,0.385,0.923
B000433,-0.098,-0.703
B000434,-0.373,-0.565
B000436,-0.2,0.528
B000444,-0.314,-0.042
B000456,-0.637,0.316
B000459,-0.35200000000000004,-0.38599999999999995
B000460,-0.171,0.939
B000468,-0.266,0.045
B000470,0.313,-0.95
B000473,0.09,-0.996
B000474,0.717,-0.697
B000499,-0.46,0.468
B000503,-0.121,-0.404
B000508,-0.53,-0.04
B000519,0.269,0.106
B000520,0.022000000000000002,1.0
B000523,0.004,-0.223
B000524,0.38400000000000006,-0.314
B000536,0.106,0.9
B000541,-0.423,-0.146
B000553,-0.934,-0.357
B000554,-0.219,-0.214
B000562,-0.367,-0.315
B000563,-0.36400000000000005,0.262
B000575,0.39799999999999996,0.18000000000000002
B000577,0.356,-0.935
B000593,0.21,-0.673
B000595,-0.624,0.625
B000611,0.31,-0.169
B000614,-0.04700000000000001,0.9460000000000001
B000630,0.104,-0.118
B000634,0.191,0.704
B000638,0.253,0.124
B000639,-0.142,0.771
B000642,-0.398,0.038
B000647,0.275,-0.734
B000656,0.386,-0.234
B000664,-0.004,1.0
B000670,0.325,0.492
