id,givenName,familyName,middleName,honorificSuffix,birthYear,deathYear,num_terms,positions,states,parties,congress_range,bio
A000003,Joel,Abbot,,,1776.0,1826.0,4,['Representative'],['GA'],"['Democratic Republican', 'Crawford Republican']",15-18,"ABBOT, Joel
1776 – 1826
Biography
Congresses
Bibliography
Research Collections
4 US Congresses Served
House Years of Service
15th – 18th(1817 – 1825)
State / Territory
Georgia
Position
Representative
2 Parties
Democratic Republican
Crawford Republican
ABBOT, Joel, a Representative from Georgia; born in Ridgefield, Conn., March 17, 1776; physician; member of the Washington, Ga., city council; member of the Georgia state house of representatives, 1799, 1802-1804, 1808, and 1811; elected as a Democratic Republican to the Fifteenth and reelected to the two succeeding Congresses and elected as a Crawford Republican to the Eighteenth (March 4, 1817-March 3, 1825); died on November 19, 1826, in Lexington, Ga.; interment in Rest Haven Cemetery, Washington, Ga."
A000026,John,Adair,,,1757.0,1840.0,2,"['Senator', 'Representative']",['KY'],"['Democratic Republican', 'Jacksonian']",9-22,"ADAIR, John
1757 – 1840
Biography
Congresses
Bibliography
Research Collections
Courtesy U.S. Senate Historical Office
2 US Congresses Served
House Years of Service
22nd(1831 – 1833)
Senate Years of Service
9th(1805 – 1806)
State / Territory
Kentucky
2 Positions
Representative
Senator
2 Parties
Democratic Republican
Jacksonian
ADAIR, John, a Senator and a Representative from Kentucky; born in Chester District, Chester County, S.C., January 9, 1757; attended the public schools in Charlotte, N.C.; served in the Revolutionary War; member of the South Carolina convention that ratified the Constitution of the United States; moved to Kentucky in 1788; major of volunteers in an expedition against the Indians under General Wilkinson in 1791 and 1792; was a lieutenant colonel under General Scott in 1793; member of the Kentucky constitutional convention in 1792; member of the Kentucky state house of representatives, 1793-1795, 1798, and 1800-1803, serving as speaker in 1802 and 1803; register of the United States land office in 1805; elected as a Democratic Republican to the United States Senate to fill the vacancy caused by the resignation of John Breckinridge and served from November 8, 1805, to November 18, 1806, when he resigned, having been an unsuccessful candidate for reelection; aide to Governor Isaac Shelby in the Battle of the Thames in 1813; commander of the Kentucky rifle brigade which served under General Andrew Jackson in 1814 and 1815; again a member of the Kentucky state house of representatives in 1817; appointed adjutant general with the brevet rank of brigadier general; Governor of Kentucky 1820-1824; elected as a Jacksonian candidate to the Twenty-second Congress (March 4, 1831-March 3, 1833); was not a candidate for reelection in 1832; died in Harrodsburg, Ky., May 19, 1840; interment in State Cemetery, Frankfort, Ky., where a monument to his memory was erected by the State."
A000030,Benjamin,Adams,,,1764.0,1837.0,3,['Representative'],['MA'],['Federalist'],14-16,"ADAMS, Benjamin
1764 – 1837
Biography
Congresses
Bibliography
Research Collections
3 US Congresses Served
House Years of Service
14th – 16th(1816 – 1821)
State / Territory
Massachusetts
Position
Representative
Party
Federalist
ADAMS, Benjamin, a Representative from Massachusetts; born in Mendon, Mass., December 16, 1764; attended the public schools and graduated from Brown University in 1788; studied law; admitted to the bar and commenced practice in Uxbridge; member of the Massachusetts state house of representatives 1809-1814; served in the Massachusetts state senate in 1814, 1815, and 1822-1825; elected as a Federalist to the Fourteenth Congress to fill the vacancy caused by the death of Elijah Brigham; reelected to the Fifteenth and Sixteenth Congresses and served from December 2, 1816, to March 3, 1821; unsuccessful candidate for reelection in 1820 to the Seventeenth Congress and for election in 1822 to the Eighteenth Congress; resumed the practice of his profession; died in Uxbridge, Worcester County, Mass., March 28, 1837; interment in Prospect Hill Cemetery."
A000041,John,Adams,Quincy,,1767.0,1848.0,12,"['Senator', 'Representative']",['MA'],"['Whig', 'Federalist', 'Anti-Jacksonian', 'Anti-Masonic']",8-30,"ADAMS, John Quincy
1767 – 1848
Biography
Congresses
Bibliography
Research Collections
Collection of the U.S. House of Representatives
About this object
12 US Congresses Served
House Years of Service
22nd – 30th(1831 – 1848)
Senate Years of Service
8th – 10th(1803 – 1808)
State / Territory
Massachusetts
3 Positions
President
Representative
Senator
4 Parties
Federalist
Anti-Jacksonian
Anti-Masonic
Whig
ADAMS, John Quincy, (son of John Adams, father of Charles Francis Adams, brother-in-law of William Stephens Smith), a Senator and a Representative from Massachusetts and 6th President of the United States; born in Braintree, Mass., July 11, 1767; acquired his early education in Europe at the University of Leyden; graduated from Harvard University in 1787; studied law; was admitted to the bar and commenced practice in Boston, Mass.; appointed Minister to Netherlands 1794, Minister to Portugal 1796, Minister to Prussia 1797, and served until 1801; commissioned to make a commercial treaty with Sweden in 1798; elected to the Massachusetts state senate in 1802; unsuccessful candidate for election to the U.S. House of Representatives in 1802; elected as a Federalist to the United States Senate and served from March 4, 1803, until June 8, 1808, when he resigned, a successor having been elected six months early after Adams broke with the Federalist party; Minister to Russia 1809-1814; nominated and confirmed as an Associate Justice of the Supreme Court of the United States in February 1811 but declined to serve; member of the commission which negotiated the Treaty of Ghent in 1814; Minister to England 1815-1817, assisted in concluding the convention of commerce with Great Britain; Secretary of State in the Cabinet of President James Monroe 1817-1825; decision in the 1824 election of the President of the United States fell, according to the Constitution of the United States, upon the House of Representatives, as none of the candidates had secured a majority of the electors chosen by the states, and Adams, who stood second to Andrew Jackson in the electoral vote, was chosen and served from March 4, 1825, to March 3, 1829; elected as an Anti-Jacksonian candidate to the U.S. House of Representatives for the Twenty-second Congress; reelected as an Anti-Mason to the Twenty-third and to the succeeding Congress; and reelected as a Whig to the Twenty-fifth and to the five succeeding Congresses, and served from March 4, 1831, until his death on February 23, 1848; chairman, Committee on Manufactures (Twenty-second through Twenty-sixth, and Twenty-eighth and Twenty-ninth Congresses), Committee on Indian Affairs (Twenty-seventh Congress), Committee on Foreign Affairs (Twenty-seventh Congress); unsuccessful candidate for Governor of Massachusetts in 1834; died in the U.S. Capitol Building, Washington, D.C., February 23, 1848; interment in the family burial ground at Quincy, Mass.; subsequently reinterred in United First Parish Church."
A000039,John,Adams,,,1735.0,1826.0,2,['Delegate'],['MA'],[],1-2,"ADAMS, John
1735 – 1826
Biography
Congresses
Bibliography
Research Collections
Senate Commission on Art
State / Territory
Massachusetts
3 Positions
Delegate
President
Vice President
ADAMS, John, (father of John Quincy Adams, grandfather of Charles Francis Adams, cousin of Samuel Adams, father-in-law of William Stephens Smith), a Delegate from Massachusetts and a Vice President and 2d President of the United States; born in Braintree, Mass., October 19, 1735; graduated from Harvard College in 1755; studied law; admitted to the bar in 1758 and commenced practice in Suffolk County; joined the Sons of Liberty and argued against the Stamp Act; was elected to represent Boston in the general court in 1768; Delegate to the First Continental Congress, 1774; Delegate to the Second Continental Congress, 1775-1777; signed the Declaration of Independence and proposed George Washington, of Virginia, for General of the American Army; became a member of the Board of War, but resigned to accept appointment as commissioner to the Court of France; Minister Plenipotentiary to Holland 1782; first Minister to England 1785-1788; elected in 1788 as the first Vice President of the United States with George Washington as President; reelected in 1792 and served from April 21, 1789, to March 3, 1797; elected President of the United States and served from March 4, 1797, to March 3, 1801; delegate to the constitutional convention of Massachusetts 1820; died in Quincy, Mass., July 4, 1826; interment under the old First Congregational Church, now called the United First Parish Church."
A000038,John,Adams,,,1778.0,1854.0,2,['Representative'],['NY'],"['Democratic Republican', 'Jacksonian']",14-23,"ADAMS, John
1778 – 1854
Biography
Congresses
Bibliography
Research Collections
2 US Congresses Served
House Years of Service
14th(1815 – 1815)
23rd(1833 – 1835)
State / Territory
New York
Position
Representative
2 Parties
Democratic Republican
Jacksonian
ADAMS, John, a Representative from New York; born in Oak Hill, town of Durham, Greene County, N.Y., August 26, 1778; attended the common schools; taught school in Durham; studied law; admitted to the bar in 1805 and commenced practice in Durham; appointed surrogate of Greene County by Governor Tompkins in 1810; member of the State assembly, 1812-1813; presented credentials as a Republican to the Fourteenth Congress, but was succeeded by Erastus Root, who contested his election (March 4, 1815-December 26, 1815); elected as a Jacksonian candidate to the Twenty-third Congress (March 4, 1833-March 3, 1835); was not a candidate for renomination in 1834; moved to Catskill, Greene County, N.Y., and continued the practice of law until his death; elected a director of the Catskill-Canajoharie Railroad in 1835; died in Catskill, N.Y., September 25, 1854; interment in Thomson Street Cemetery."
A000042,Parmenio,Adams,,,1776.0,1832.0,2,['Representative'],['NY'],"['Adams', 'Adams-Clay Republican']",18-19,"ADAMS, Parmenio
1776 – 1832
Biography
Congresses
Bibliography
Research Collections
2 US Congresses Served
House Years of Service
18th – 19th(1823 – 1827)
State / Territory
New York
Position
Representative
2 Parties
Adams-Clay Republican
Adams
ADAMS, Parmenio, a Representative from New York; born in Hartford, Conn., September 9, 1776; attended the common schools; moved in 1806 to ""Phelps Corners,"" then in the township of Batavia, Genesee County (now Attica, Wyoming County), N.Y.; held commissions in the New York State Militia from 1806 to 1816 as lieutenant of light Infantry, captain of Grenadiers, second and first major, and division inspector of Infantry; served in the War of 1812 as major and commandant of New York Volunteers for some months on the Niagara frontier and was recommended for a majority in the United States Army by Gov. Daniel D. Tompkins, of New York; twice appointed sheriff of Genesee County, serving in 1815 and 1816, and again from 1818 to 1821; engaged in agricultural pursuits and also was a construction contractor on the Erie Canal; successfully contested the election of Isaac Wilson as an Adams-Clay Republican to the Eighteenth Congress; reelected as an Adams candidate to the Nineteenth Congress and served from January 7, 1824, to March 3, 1827; died in Alexander, Genesee County, N.Y., February 19, 1832; interment at Forest Hill Cemetery, Attica, N.Y."
A000043,Robert,Adams,Huntington,,1792.0,1830.0,1,['Senator'],['MS'],['Jacksonian'],21-21,"ADAMS, Robert Huntington
1792 – 1830
Biography
Congresses
Bibliography
Research Collections
US Congress Served
Senate Years of Service
21st(1830 – 1830)
State / Territory
Mississippi
Position
Senator
Party
Jacksonian
ADAMS, Robert Huntington, a Senator from Mississippi; born in Rockbridge County, Va., in 1792; apprenticed to the cooper's trade; graduated from Washington College (now Washington and Lee University) at Lexington, Va., in 1806; studied law; admitted to the bar and commenced practice in Knoxville, Tenn.; moved to Natchez, Miss., in 1819; member of the State house of representatives in 1828; elected as a Jacksonian to the United States Senate to fill the vacancy caused by the death of Thomas B. Reed and served from January 6, 1830, until his death in Natchez, Miss., July 2, 1830; interment in Natchez City Cemetery."
A000053,William,Addams,,,1777.0,1858.0,2,['Representative'],['PA'],['Jacksonian'],19-20,"ADDAMS, William
1777 – 1858
Biography
Congresses
Bibliography
Research Collections
2 US Congresses Served
House Years of Service
19th – 20th(1825 – 1829)
State / Territory
Pennsylvania
Position
Representative
Party
Jacksonian
ADDAMS, William, a Representative from Pennsylvania; born in Lancaster County, Pa., April 11, 1777; moved to Berks County, near Reading, and served as auditor in 1813 and 1814; commissioner of Berks County 1814-1817; member of the State house of representatives 1822-1824; elected as a Jacksonian candidate to the Nineteenth and Twentieth Congresses (March 4, 1825-March 3, 1829); unsuccessful candidate for renomination in 1828; member of the committee for the Deaf and Dumb Institution for the States of New York and Ohio; elected associate judge of Berks County and served from 1839 to 1842; captain of the Reading City Troop; largely interested in agricultural pursuits; died in Spring Township, Berks County, Pa., May 30, 1858; interment in St. John's Church Cemetery, Sinking Springs, Pa."
A000056,Asa,Adgate,,,1767.0,1832.0,1,['Representative'],['NY'],['Democratic Republican'],14-14,"ADGATE, Asa
1767 – 1832
Biography
Congresses
Bibliography
Research Collections
US Congress Served
House Years of Service
14th(1815 – 1817)
State / Territory
New York
Position
Representative
Party
Democratic Republican
ADGATE, Asa, a Representative from New York; born in Canaan, N.Y., November 17, 1767; in 1793 moved to what became known as Adgates Falls, on the Ausable River, then in the township of Peru, Clinton County, N.Y. (now Ausable Chasm, Chesterfield Township, Essex County, N.Y.), where he engaged in the manufacture of iron and agricultural pursuits; upon the organization of the town of Peru in 1793 was elected town clerk and reelected in 1794; supervisor in 1795; assessor in 1796 and 1797; commissioner of schools in 1798; member of the State general assembly from Clinton County in 1798; lieutenant of Infantry, Clinton County, New York Militia, 1793-1800; named by Gov. John Jay, of New York, March 9, 1799, in the first commission of the peace for Essex County, as one of the judges of the court of common pleas and served for several years; elected as a Democratic Republican to the Fourteenth Congress to fill the vacancy caused by the death of Benjamin Pond and served from June 7, 1815, to March 3, 1817; was not a candidate for renomination in 1816; resumed his former occupations; again a member of the State general assembly from Essex County, in 1823; died at Ausable Chasm, Chesterfield Township, Essex County, N.Y., February 15, 1832; interment in Ausable Chasm Cemetery, Ausable Township, Clinton County, N.Y."
